#GAME Книга %d
#MAP Карта %d
#BC %d до Н.Э.
#AD %d Н.Э.
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A Model %d
#TILESIZE %dx%d

#TITLE_GOV Выберите форму правления
#TITLE_TECHSELECT Что нам исследовать теперь?
#TITLE_FARTECH Установите центр исследования
#TITLE_CITIES #A Города
#TITLE_EVENTS События в городе %s
#TITLE_MODELS #A Юниты
#TITLE_DIAGRAMS Диаграммы
#TITLE_SHIPS Корабли колонии
#TITLE_SHIP #A Корабли колонии
#TITLE_EMODELS Иностранные проекты юнитов
#TITLE_EDEFENSE Городская защита
#TITLE_RATES Экономика
#TITLE_DRAFT Военное исследование
#TITLE_WONDERS Чудеса Света
#TITLE_ENHANCE Расширение местности
#TITLE_CITYTYPES Типы города
#TITLE_PROJECT Что будем строить?
#TITLE_CITYNAME Название города
#TITLE_MODELNAME Имя юнита
#TITLE_ERROR Ошибка
#TITLE_SCIENCE Научно-технический отчет
#TITLE_OFFERDELIVER Добавить предложение
#TITLE_OFFERCOST Добавить требование
#TITLE_NUMBER Номер
#TITLE_AMOUNT Сумма
#TITLE_CHOOSETECH Выберите продвижение
#TITLE_CHOOSEMODEL Выбрать проект юнита
#TITLE_CHOOSESHIPPART Выбрать тип
#TITLE_CHOOSECITY Выбрать город
#TITLE_BOOKNAME Название Книги
#TITLE_MAPNAME Название карты
#TITLE_NATION #N
#TITLE_SPYMISSION Шпионская операция
#TITLE_SUICIDE Миссия самоубийства
#FRMILREP Военное сообщение

'Тексты сообщений
#NOALTAI Нет других установок ИИ.\Скачайте дополнительные модули с сайта C-evo или создайте свой модуль.
#REVOLUTION Мы должны #a преодолеть период анархии прежде чем установим новую форму правления. Начать революцию?
#AUTOREVOLUTION Мы открыли новую форму правления:\%s\\Чтобы перейти на нее нам надо свергнуть текущее правительство, а затем преодолеть период анархии. Хотите ли вы начать революцию?
#NOALTGOVS Революция позволяет сменить форму управления государством. К настоящему времени это бессмысленно, так как мы не знаем других форм правления, кроме действующего сейчас Деспотизма.
#AGE0 = %s =\Каменный Век позади. Настало время завершить кочевой образ жизни. Мы решили остановиться на этих плодородных равнинах и основать здесь поселение, которое назовем %s.
#AGE1 = %s =\В течении многих столетий, мы смогли построить сильное общество на основе философии природы, религии. Но природа диктует нам все новые и новые законы. Поэтому в старый уклад жизни было включено эмпирическое, рациональное мышление: Наука.
#AGE2 = %s =\С открытием массового производства, впервые в Истории, богатство 
больше не привелегия избранного меньшинства. Грядут невероятные перемены. 
Благодаря развитию мирового рынка, в новые технологии вкладываются биллионные
инвестиции. Ещё вчера это казалось невозможным.
#AGE3 = %s =\Теперь фантастика может стать реальностью. Знания, которыми мы обладаем,
позволяют нам отправиться на исследования далёкого космоса. Нам удалось установить,
что редкие виды металлов должны сыграть в этом великом проекте ключевую роль.
#ENDTURN Нет юнитов, не получивших приказа.\Завершите ход, чтобы продолжить.
#CREDUP Наша репутация поднялась до "%s".
#CREDDOWN Наша репутация упала до "%s".
#FOREIGNCITY Последний известный город:\#N\(Нет информации с %s)
#EXTINCTCITY Последняя известная страна:\вымерли\(Нет информации с %s)
#CAPTURE #N захватили город %s!
#BOMBARD #N бомбардируйте незащищенный город %s!
#EXPEL Юниты были исключены с #a территории.
#DISPOSE %s\\Произвести реконструкцию здания?
#SPDESTRUCTQUERY \(Примечание: Мы потеряем контроль над космическим кораблем, если демонтируем космопорт!) 
#SELL %s\\Продать это здание?
#LOSEMAT Закончились средства для нового проекта. %d%%p будет продан за %d%%c.
#LOSEMAT3 Изменение текущего проекта на новый закончится убытками 1\3 накопленного материала. Все равно продолжить?
#DOUBLESTATEIMP %s\\Это улучшение уже есть в городе %s. Хотите переместить его сюда?
#READY Проект будет завершен на следующем ходу.
#NOMONEY У вас недостаточно денег\чтобы завершить проект на следующем ходу.\(%d%%c нужно, %d%%c имеется)
#BUY Потратить %d%%c чтобы завершить проект на следующий ход?
#EMIGRATE Эмиграция может вызвать крах города. Эмиграция должна быть отложена, пока город не наберет достаточно жителей?
#ADDTOMAXSIZE Этот город достиг максимального размера.
#CITYMANAGEOFF Выключить Автоматическое Управление Населением?
#GLIDERLOST Наш планер потерялся в море.
#PLANELOST У авиации закончилось топливо.
#DAMAGED_UTILIZE Использование поврежденного юнита приносит меньше пользы. Продолжить?  
#NOBB Мы пока не умеем строить мосты через реки. Нужно изучить соответствующую технологию.
#NOCITY Этот тип местности непригоден для поселения. Мы должны поискать местность, на которой возможно орошение.
#NOCAPTURER Гражданские юниты не могут захватывать города.
#NOBOMBARDER Бомбардировка города не возможна, нужна большая мощность атаки.
#ZOC Этот тип юнита не может перемещаться по иностранной территории.
#FASTATTACK Атака с %d%% мощностью?
#NOTIMELOADGROUND Этот тип юнита требует %s точек перемещения, чтобы садиться и выходить из транспорта.
#NOTIMELOADAIR Авиация требует 100 точек перемещения, чтобы сесть на носитель или выйти с него.
#NOTIMEBOMBARD Бомбардировка города требует 100 точек перемещения.
#NOTIMEEXPEL Исключение юнита требует 100 точек перемещения.
#NOROAD Этот юнит может перемещаться только по дороге или железной дороге.
#NONAV Это судно не имеет способность навигации.
#NOTRANSPORT Это судно не является транспортом.
#FULLTRANSPORT Этот транспорт полностью загружен.
#LOWFUEL У этой авиации мало топлива. Если лететь дальше, то не хватит топлива на посадку. Продолжить?
#LOWFUEL_GLIDER Этот юнит должен приземлиться в конце хода. В противном случае мы его потеряем. Продолжить?
#UNREST_FOREIGN %s\\Это #a территория. Любое перемещение увеличит беспокойство в домашнем городе юнита. Все равно продолжить?
#UNREST_NOTOWN %s\\Отход #s увеличит беспокойство в домашнем городе юнита. Все равно продолжить?
#NOATTACKER Это - гражданский юнит, он не может атаковать.
#ATTACKSUB Мы не можем атаковать эту иностранную подлодку.
#ATTACKSTEALTH Мы не можем атаковать этот иностранный истребитель Стелс.
#PEACE_NOATTACK Мы подписали мирный договор с #n.
#PEACE_NOMOVE Мы подписали мирный договор с #n. Мы не должны входить на их территорию.
#PEACE_NOWORK Это - #a территория!\У нас с ними мирный договор.
#NOFOREIGNINFO Не найдено новой информации.
#FOREIGNINFO К нам пришла новая информация о:
#DOSSIER_PREPARED #a дело теперь доступно, включая #a диаграммы и текущий уровень их научной разработки.
#VIOLATION Наши силы нарушают #a территорию!\#N предоставляет нам время %s чтобы отвести войска.
#EVIOLATION #N извиняется за нарушение мирного договора. Они согласились забрать свои войска от %s.
#WITHDRAW Наши войска вынуждены забрать #a территорию.
#WONDERBUILT #N завершил одно из\чудес света:\%s
#WONDERBUILTEXP Чудо Света построено другой страной:\%s\\Это древнее Чудо, оно не дает преимуществ в настоящее время.
#WONDERBUILTOWN Мы завершили постройку одного из\Чудес Света:\%s
#WONDERCAPT #N захватили одно из\Чудес Света:\%s
#WONDERCAPTOWN Мы захватили одно из\Чудес Света:\%s
#WONDEREXP Эффект одного из Чудес Света истек:\%s
#WONDERDEST Одно из Чудес Света уничтожено:\%s
#COLDWAR Со взаимной угрозой Ядерной Войны, дипломатические позиции всех стран стали непокобелимы. Любые перегоры бесполезны. Началась холодная война.
#COLDWAREND Холодная война окончена.
#SHIPBUILT #N Постоили часть их Космического корабля.
#SHIPBITRADE1 #S и
#SHIPBITRADE2 #s меняются частями космического корабля.
#SHIPUNITRADE1 #N получают
#SHIPUNITRADE2 части космического корабля от #s.
#SHIPCAPTURE1 #N захватили
#SHIPCAPTURE2 #a космический корабль!
#SHIPDESTROYED #N потеряли контроль над своим космическим кораблем.
#LOWFUNDS Наша казна пуста. Если мы ничего не предпримем, придётся продать некоторые постройки.\Продолжить?
#DISORDER В %s городские беспорядки .\Продолжить?
#DISORDER_UNREST В %s начнется гражданский беспорядок из-за большого уровня беспокойства.\Продолжить?
#FAMINE %s под угрозой голода.\Продолжить?
#FAMINE_TILES %s под угрозой голода. Слишком мало плодородных почв в городе.\Продолжить?
#FAMINE_UNREST %s под угрозой голода. Часть населения должна быть призвана для контроля уровня беспокойства горожан. Экономика города ослаблена - недостаточно ресурсов для производства продовольствия.\\Продолжить?
#LOWSUPPORT %s не способен содержать все свои отряды.\Продолжить?
#LOWSUPPORT_TILES %s не способен содержать все свои отряды. Слишком мало продуктивных секций в этом городе.\Продолжить?
#LOWSUPPORT_UNREST %s не способен содержать все свои отряды. Часть населения должна быть призвана для контроля уровня беспокойства горожан. Экономика города ослаблена - недостаточно ресурсов для материальной сферы производства.\\Продолжить?
#RESIGN Вы собираетесь закрыть эту книгу.\Вы желаете сохранить ее?
#ENDTOUR Вы желаете сохранить книгу этого тура так, чтобы Вы могли открывать это в Привелигированном режиме?
#MODELAVAILABLE Новые юниты готовы для производства.
#RESEARCH_GENERAL Мы открыли %s!
#GRLIB_GENERAL Мы получили знание %s из великой Библиотеки!
#ORACLEINCOME Доход: %d%%c
#NOSELLAGAIN %s\\Город не может продавать или разбирать больше одного здания за ход.
#OUTOFCONTROL %s\\Этот город ещё не под нашим контролем.
#NOCHANGEINANARCHY Наше государство в Анархии, любая деятельность в городах парализована.
#EXTINCT = %s =\Государство #n уничтожено. Только легенды напоминают об их великой культуре.
#EXTINCTALL \\Наша нация осталась единственной на Земле..
#GAMEOVER #N потеряли все города.\\ИГРА ОКОНЧЕНА.
#TIMEUP Время вышло.\Хотя #n достигли высоких технологий и значительного процветания, а их позиция в мире была весьма значительна, они не смогли добиться окончательного превосходства своей цивилизации.\\ИГРА ОКОНЧЕНА.
#TIMEUPSUPER Время вышло.\Никто не сумел завершить строительство Космического Корабля.
#SPACESHIP1 #N Запустили Космический Корабль с целью колонизации других миров.\
#SPACESHIP2 Завершение этого Гигантского по своему масштабу проекта свидетельствует о подавляющем превосходстве их нации.\\ИГРА ОКОНЧЕНА.
#MYSPACESHIP Пройдя через экономические кризисы и кровопролитные войны, мы наконец, воплотили в жизнь древнюю мечту человечества о вселенной. Мы построили Космический Корабль и отправили его в глубины космоса, чтобы найти новый мир пригодный для жизни.\\МЫ ПОБЕДИЛИ.
#SHAREDWIN (Мы разделили победу с %s)
#SHAREDWIN_CONCAT %s, %s
#NOAI ИИ не установлен!
#FILENOTFOUND Файл "%s" не найден. 
#AIEXCEPTION Ошибка ИИ в модуле %s!
#LOADERR Эта книга другой версии c-Evo.
#NOFILENAME У книги должно быть правильное имя. '%s' символ недопустим.
#DLLERROR Не могу загрузить %s.
#AIERROR Модуль ИИ %s не найден.
#MISSDEACT Игрок %d завершил работу некорректно.
#CLIENTERROR Не могу найти клиента %s.
#LOADERROR В этой книге какая-то ошибка, видимо открыть её не
удастся.\\Вы поддержите развитие игры если отошлёте файл этой книги
разработчикам.\Зайти на страницу сообщений об ошибках?
#NOSTARTPOS На этой карте не определены начальные позиции игроков. На ней невозможно играть.
#TOOFEWTRIBES Количество противников не может превышать числа установленных племен.
#DELETEQUERY Книга будет удалена.
#MAPDELETEQUERY Карта будет удалена.
#TURN #N\%s
#SUPERTURN Супервайзер\%s
#FRNEWNATION Мы вступили в контакт с #n.
#FRCONTACT #n желают\говорить с Вами. Вы их примете?
#FRREJECTED #N не желают принимать наших эмиссаров.
#FRCANCELQUERY_CEASEFIRE Разорвать договор о перемирии?
#FRCANCELQUERY_PEACE Разорвать договор о мире?
#FRCANCELQUERY_FRIENDLY Разорвать договор о дружественном отношении?
#FRCANCELQUERY_ALLIANCE Разорвать договор об альянсе?
#FRCANCELBYREJECT_PEACE #A эмиссары:\Наше терпение исчерпано.\Приготовьтесь к войне!
#FRCANCELBYREJECT_FRIENDLY #A эмисссары:\Это конец нашей дружбе!
#FRCANCELBYREJECT_ALLIANCE #A эмиссары:\Мы не собираемся поддерживать альянс со страной, которая нам не помогает. Мы отменяем пакт об альянсе.
#FRMYALLIANCE1 #N объявил войну нашим союзникам,
#FRMYALLIANCE2 #n. Мы должны поддержать #a против этой агрессии.
#FRENEMYALLIANCE #N решил поддержать своих союзников против нас. Наши соглашения с ними аннулированы.
#FRANARCHY #a находится в состоянии Анархии. Наши эмиссары не нашли там органов государственного управления, с которыми можно вести переговоры.
#FRMYANARCHY В нашей стране Анархия. Дипломатическая деятельность требует урегулированную власть, которой у нас нет.
#FRCOLDWAR Вы находитесь в состоянии Холодной войны. Переговоры не имеют ни какого значения.
#MAX2WANTS Вы не можете объединять более, чем два спроса в одно предложение.
#MAX2OFFERS Вы не можете объединять более, чем два предложения в одно предложение.
#NOOFFER Это предложение недействительно!
#CANCELTREATYRUSH Отмена одного договора с одной и той же страной в пределах 3 ходов не допущена. 
#NOSPACEPORT У нас нет космического порта, так что мы теряем все имеющиеся части космического корабля. Продолжить?  
#SUICIDE Послать\людей на верную смерть?
#RATES Что если мы сориентируем\нашу экономику?
#NORATES Статуя свободы\активна.

'Дипломатические инструкции, не использовать '\'!
#FRSTART_NOTREATY #n предлагают Вам следующее:
#FRSTART_PEACE #n приветствуют Вас, нужно кое-что обсудить.
#FRCANCELTREATY_PEACE Мы объявляем вам войну.
#FRCANCELTREATY_FRIENDLY Мы вынуждены закончить нашу дружбу.
#FRCANCELTREATY_ALLIANCE Мы больше не видим смысла в нашем союзе. Мы отменяем пакт об альянсе.
#FRNOTICE Не думайте, что мы потерпим это вновь.
#FRBREAK Эти переговоры пустая трата времени. Возможно мы добьемся большего, когда Вы обдумаете Вашу позицию.
#FROFFER Мы предлагаем %s в обмен на %s.
#FRPRESENT Позвольте сделать вам подарок: %s
#FRDEMAND_STRONG Если мы не получим от вас %s вы об этом горько пожалеете!
#FRDONE Вы хотите говорить с ними о чем-нибудь?
#FRCEASEFIRE Мы просим о перемирии.
#FRPEACE Мы подготовили постоянный мирный договор, подтверждающий дружбу между нашими двумя народами и подтверждающий суверенитет наших территорий. Вы подпишете его?
#FRFRIENDLY Мы с глубоким почтением относимся к #a науке и культуре. Дружественные контакты позволят нам больше узнать о друг друге.
#FRALLIANCE Мы видим большие возможности сотрудничества между нашими двумя народами. Вы присоединитесь к союзу с нами, чтобы мы могли преставлять объединенный фронт в борьбе против наших врагов?
#FRACCEPTCEASEFIRE Ваш запрос удовлетворен. Мы остановим наши действия... на некоторое время.
#FRACCEPTTREATY Хорошо. Это соглашение станет новой вехой в развитии наших отношений.
#FRNOTACCEPTTREATY Вы не достойны того, чтобы подписать государственные соглашения с #n.
#FRENDTREATY_PEACE Это окончание нашего мира
#FRENDTREATY_FRIENDLY наша дружба прекращена
#FRENDTREATY_ALLIANCE наш альянс аннулирован
#FRACCEPTOFFER Это справедливое предложение. Мы принимаем.
#FRACCEPTPRESENT #N с благодарностью принимают этот подарок.
#FRACCEPTDEMAND_STRONG Мы выполним Ваши пожелания ради хороших отношений между нашими народами.
#FRNOTACCEPTOFFER Это предложение не кажется нам выгодным.
#FRNOTACCEPTPRESENT #N не нуждаются в предложенном.
#FRNOTACCEPTDEMAND_STRONG Вы требуете слишком многого.
#FRDELCHOICE Мы заинтересованы в %s. Какую цену вы хотите за это?
#FRCOSTCHOICE Имеется ли что-то, что вы могли бы предложить нам в обмен %s?
#FRBYE Сейчас не время, чтобы обсуждать это. До свидания.
#PRICE_CHOOSE цена выбора
#PRICE_CIVIL Гражданскую информацию о #n
#PRICE_MIL Военную информацию о #n
#PRICE_MAP #a карту мира
#PRICE_SHIPCOMP %d Компоненты Космического Корабля
#PRICE_SHIPPOW %d Силовые модули
#PRICE_SHIPHAB %d Жилые модули
#PRICE_TRIBUTE %d%%c за каждый ход
#PRICE_ALLTECH весь ваш, #a, научный опыт
#PRICE_ALLMODEL документы по созданию всех известных вам отрядов, #a
#PRICE_CONCAT %s и %s
#PRICECAT_ALLTECH Все знания
#PRICECAT_ALLMODEL Все Типы отрядов

'Названия кнопок
#BTN_OK OK
#BTN_CANCEL Отмена
#BTN_YES Да
#BTN_NO Нет
#BTN_INFO Информация

'Названия кнопок-инструментов
#BTN_SELECT Выбор
#BTN_PAGE Следующая страница
#BTN_SUPPORT Поддержка
#BTN_IMPRS Улучшения
#BTN_CLASSES Юниты
#BTN_WONDERS Чудеса Света
#BTN_BUY Купить
#BTN_DELETE Удалить
#BTN_RENAME Переименовать
#BTN_OBSOLETE Устаревший
#BTN_NONOBSOLETE Производство возможно
#BTN_ALLOWCONSCRIPTS Призыв возможен
#BTN_NOCONSCRIPTS Призыв невозможен
#BTN_ENDTURN Конец хода!
#BTN_SKIP Не показывать чужие действия
#BTN_NOAUTOMOVE Не продолжать наши действия
#BTN_STOP Стоп
#BTN_NEGO Назад к согласованию
#BTN_DIALOG Обратиться к этой стране!
#BTN_BREAK Прервать соглашение
#BTN_PASS Ничто не предлагать
#BTN_CNTREATY Отменить договор
#BTN_ACCEPT Принять Предложение
#BTN_NOTICE Обратить внимание
#BTN_REPLAY Переиграть
#BTN_RENGAME Переименовать книгу
#BTN_DELGAME Удалить книгу
#BTN_RENMAP Переименовать карту
#BTN_DELMAP Удалить карту
#BTN_CONTENTS Содержание
#BTN_BACK Назад
#BTN_SEARCH Поиск
#BTN_WANTCEASEFIRE Запросить перемирие
#BTN_OFFERCEASEFIRE Принять перемирие
#BTN_WANTPEACE Запросит мир
#BTN_OFFERPEACE Принять мир
#BTN_WANTENDPEACE Запросить окончание мира
#BTN_OFFERENDPEACE Принять окончание мира
#BTN_WANTFRIENDLY Запросить дружественных отношений
#BTN_OFFERFRIENDLY Принять дружественные отношения
#BTN_WANTALLIANCE Запросить альянс
#BTN_OFFERALLIANCE Принять альянс
#BTN_WANTENDALLIANCE Запросить конец альянса
#BTN_OFFERENDALLIANCE Принять конец альянса
#BTN_NEGOEARLIER Ранняя часть
#BTN_NEGOLATER Поздняя часть

'Команды меню модернизации
#SUPER СУпервайзер(Советник)
#HUMAN Игрок-человек
#AIT Компьютер против компьютера
#RANDOMAI Выбор ИИ
#NOMOD (Нет)
#BTN_FOUND Основать поселение
#BTN_ADD Добавить к городу
#BTN_SETHOME Поддержать город
#BTN_MOVEHOME Идти в ближайший город
#BTN_BUILDROAD Строить дорогу
#BTN_BUILDBRIDGE Строить мост
#BTN_BUILDRR Строить железную дорогу
#BTN_BUILDRRBRIDGE Строить железнодорожный мост
#BTN_CLEAR Вырубить лес
#BTN_DRAIN Осушить болото
#BTN_UNDESERT Изменить в равнину
#FARTECH Установить цель
#NOFARTECH Без цели
#UTILIZE Использовать
#INTEGRATE Внедрить
#NETWORK_SERVER Network Server
#NETWORK_CLIENT Network Client

'Сообщения паузы
#BUSY_START Создать новый Мир...
#BUSY_MOD Загрузить %s...
#BUSY_MODLH Инициализация графики...
#BUSY_INIT Инициализация игроков...
#BUSY_LOAD Загрузка сохраненных данных...

'Редактор Карт
#MAP_START Исходная позиция
#MAP_PREFSTART Привилегированная исходная позиция
#MAP_RANDOM Вы хотите отказаться от этой карты и заменить её случайно сгенерированной картой?
#MAP_CLOSE Вы собираетесь закрыть Карту.\Вы хотите сохранить изменения?

#STARTCONTROLS
Выход
Начало
Открыть
Новая книга
Старые книги
Размер мира:
Размер суши:
Выбор игроков
Год:
Сложность %s
Конец:
Карта
Редактор
Помощь
Сложность:
Другие нации:
Управляются:

#AUTODIFF
Новичок
Легко
Средне
Трудно
Сумасшедший уровень

#CONTROLS
Отмена команды
Закрыть
Экономика и налоги...
Зона великой стены
Пустой ландшафт
Чудеса Света...
Помощь
Показывать
Военные сообщения...
Сообщения отладки ИИ...
Тип города...
Центр
Идти к
Команды отрядам
Информация об юните
Построить военную базу
Преобразовать
Очистить загрязнение
Грабить
Построить крепость
Диаграммы...
Стоять здесь
Построить канал
Загрузить в Транспорт
Ждать
Нет приказа
Показать коды локаций
Уучшить местность
Опции
Перемещение юнита
Основное окно в Фрейме
Ждать конца хода
Затенить ненаблюдаемую область
Параметры сообщений городов
Название города
Границы
Городские сообщения...
Научно-технический отчет...
Повышение
Расширение местности...
Космические корабли...
Макро управление
Построить ирригацию(орошение)
Построить ферму
Посадить лес
Построить шахту
Создать отряд
Сетка
Отладочная карта ИИ
Иностранные юниты...
Политическая карта
Только военные действия
Не показывать
Перейти на 20 ходов
Нации...
Манипуляции с чит-кодами
Получит все улучшения
Завершать проекты каждый ход
Завершать исследования каждый ход
Города растут с каждым ходом
Видеть все
Нации знают друг друга
Выполнить к концу игры
Иностранные города...
Список сообщений городов
Сообщения экранов городов
Названия
Не нуждаться в современных ресурсах
Восстановиться
Разгрузить
Случайная карта
Распустить
Загрузить на этот транспорт
Ходы противников
Медленно
Быстро
Очень быстро
Медленно
Быстро
Звук
Выкл
Вкл (По умолчанию)
On (Альтернатива)
Прокрутка
Медленно
Быстро
Выкл
Открыть сайт C-evo
Начать революцию!
Ходы союзников
Медленно
Быстро
Не показывать
Только военные действия
Только военные действия
Размер секции
Small
Medium
Big

#ADVANCES
Передовые полеты
Земноводная война
Астрономия
Атомная теория
Автомобиль
Баллистика
Банковское дело
Строительство мостов
ОБработка бронзы
Церемония похорон
Химия
Рыцарство
Смеси
Свод законов
Комбинированное вооружение
Двигатель Внутреннего сгорания
Коммунизм
Компьютеры
Воинская повинность
Конструкция
Корпорация
Космический Полет
Валюта
Демократия
Экономика
Электричество
Электроника
Проектирование
Энвироментализм
Колесо
Взрывоопасные вещества
Полет
Интеллект
Порох
Верховая Езда
Проезд Импульса
Индустриализация
Умное Оружие
Изобретение
Железная Работа
Лазер
Ядерная Мощность
Литература
Internet
Магнетизм
Получение Карты
Масонство
Массовое Производство
Математика
Лекарство
Металлургия
Миниатюризация
Мобильная Война
Монархия
Мистика
Навигация
Ядерное Расщепление
Философия
Физика
Пластмасса
Поэзия
Гончарные изделия
Радио
Recycling
Охлаждение
Монотеизм
Республика
Робототехника
Ракетостроение
Железная дорога
Санитария
Наука
Запись
Мореплавание
Искусственная среда
Уловка
Паровой Двигатель
Сталь
Комплексная Пища
Тактика
Теология
Теория Тяжести
Торговля
Освоение Космоса
Университет
Продвинутые ракетные технологии
Код Воина
Алфавит
Политеизм
Рафинирование
Обрабатывая Технологию
Нанотехнологии
Новые виды оружия
Искусственный Интеллект

#IMPROVEMENTS
ПИРАМИДЫ
ХРАМ ЗЕВСА
ВИСЯЧИЕ САДЫ
КОЛОСС
МАЯК
ВЕЛИКАЯ БИБЛИОТЕКА
ОРАКУЛ
Военная Академия СУН-ЦЗЫ
Мастерская Леонардо Д'Авинчи
Экспедиции Магеллана
Капелла Микельанджело
*
КОЛЛЕДЖ ИСААКА НЬЮТОНА
Кафедральный Собор Баха
*
СТАТУЯ СВОБОДЫ
ЭЙФЕЛЕВА БАШНЯ
ПЛОТИНА им. Э.ГУВЕРА
ВОСТОЧНЫЙ ЭКСПРЕСС
МАНХЕТТЕНСКИЙ ПРОЕКТ
КОСМИЧЕСКАЯ СТАНЦИЯ МИР
*
*
*
*
*
*
*
Копим Деньги
Казарма
Зернохранилище
Храм
Рынок
Библиотека
Суд
Городская стена
Акведук
Банк
Собор
Университет
Порт
Театр
Фабрика
Завод
Очистные сооружения
Теплоэлектростанция
Гидроэлектростанция
АЭС
Шельфовая платформа
Муниципалитет
Канализация
Супермаркет
Автострада
Исследовательская лаборатория
Батарея ПВО
Береговая крепость
Аэропорт
Верфь
Столичный Дворец
Великая Стена
Коллизей
Национальная обсерватория
Гвардейские казармы
Командный Центр
Проект фермы морских водорослей
Фондовая биржа
Космодром
Компонент Космического Корабля
Силовая Установка КК
Жилой Модуль КК

#FEATURES
Атака
Защита
Подвижность
Морская транспортировка
Авианосность
Турбины
Бомбы
Топливо
Воздушный Транспорт
Система навигации
Радар
Подводная лодка
Дальнобойность
Альпинизм
Судно снабжения
Утяжеление
Воздушная Защита
Самолёт-шпион
Паровая энергия
Ядерная энергия
Реактивный двигатель
Стелс
Фанатик
Первый Удар
Повышенная Мощь
Обучение в Академии
Линия производства

#TERRAIN
Океан
Берег
Поле
Пустыня
Прерия
Тундра
Арктическая тундра
Болото
Джунгли
Лес
Холмы
Горы
*
Рыба
Равнины.
Оазис.
Пшеница.
Золото.
Слоновая кость.
Торф.
Плод.
Игра.
Вино.
Железо.
*
Марганец
*
Масло
Боксит
Газ
*
*
Эбен
Минеральная вода
Каменный уголь
Алмазы
Мертвая земля
Кобальт
Уран
Ртуть

#DOMAIN
Наземные
Морские
Воздушные

#EXPERIENCE
Новобранец
Дисциплинированный
Закаленный
Ветеран
Элита

#UNITSTATUS
Укрепленный
Бомбардировщик вооружен
Перемещается в горах
Призывается
Замкнутый
*
*
*
Загружен в транспорт
Вызывает беспокойство
Стоит здесь
*
Перемещается
Улучшает местность
Восстанавливается

#GOVERNMENT
Анархия
Деспотизм
Монархия
Республика
Фундаментализм
Коммунизм
Демократия
Общество будущего

#TREATY
Нет соглашений
Перемирие
Мир
Дружественное отношение
Альянс

#HAVETREATY
Контакт с #n
Перемирие с #n
Мир с #n
Дружественное отношение с #n
Альянс с #n

#ATTITUDE
